"size.L1"	"mr.L1"	"latency"	"mr.L2"	"size.L2e"	"cost"
0	1	1.51	0.133673469387755	161.779290509657	0.107431560104069
0	1	1.52	0.13469387755102	156.164101648395	0.103702723750887
0	1	1.53	0.135714285714286	150.548912787133	0.0999738873977054
0	1	1.54	0.136734693877551	144.933723925871	0.0962450510445235
0	1	1.55	0.137755102040816	139.318535064608	0.0925162146913415
0	1	1.56	0.138775510204082	135.319678256218	0.0898607238420196
0	1	1.57	0.139795918367347	131.816833132413	0.0875346157519931
0	1	1.58	0.140816326530612	128.313988008609	0.0852085076619667
0	1	1.59	0.141836734693878	124.811142884804	0.0828823995719402
0	1	1.6	0.142857142857143	121.308297760999	0.0805562914819137
0	1	1.61	0.143877551020408	117.805452637195	0.0782301833918873
0	1	1.62	0.144897959183673	114.30260751339	0.0759040753018608
